animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,Experiment_Acclimate,starve_date,starve_time,background,mean_speed_mm,%_time_L_half,%_time_R_half,PI_(L-R)
171214-06-bottom,171214,02:06:00 PM,02:21:00 PM,f,False,filtered_food_odor_100uL,E,171213,10:15:00 AM,orco5_gcamp,2.1713712504,0.5444938821,0.4555061179,0.0889877642
171214-07-top,171214,02:41:00 PM,02:56:00 PM,f,False,filtered_food_odor_100uL,E,171213,10:15:00 AM,orco5_gcamp,3.1556905908,0.7865480823,0.2134519177,0.5730961645
171214-07-bottom,171214,02:41:00 PM,02:56:00 PM,m,False,filtered_food_odor_100uL,E,171213,10:15:00 AM,orco5_gcamp,1.0645687862,0.2269187987,0.7730812013,-0.5461624027
171214-08-top,171214,03:16:00 PM,03:31:00 PM,m,False,milliQ_water_100uL,E,171213,10:15:00 AM,orco5_gcamp,6.1864352243,0.436596218,0.563403782,-0.126807564
171214-08-bottom,171214,03:16:00 PM,03:31:00 PM,m,False,milliQ_water_100uL,E,171213,10:15:00 AM,orco5_gcamp,2.8811071504,0.223025584,0.776974416,-0.553948832
171214-09-top,171214,03:50:00 PM,04:05:00 PM,m,False,milliQ_water_100uL,E,171213,10:15:00 AM,orco5_gcamp,5.3004206045,0.6017797553,0.3982202447,0.2035595106
171214-09-bottom,171214,03:50:00 PM,04:05:00 PM,m,False,milliQ_water_100uL,E,171213,10:15:00 AM,orco5_gcamp,3.5958763303,0.5695216908,0.4304783092,0.1390433815
171214-10-top,171214,04:24:00 PM,04:39:00 PM,f,False,milliQ_water_100uL,E,171213,10:15:00 AM,orco5_gcamp,3.117889303,0.2513904338,0.7486095662,-0.4972191324
171214-10-bottom,171214,04:24:00 PM,04:39:00 PM,m,False,milliQ_water_100uL,E,171213,10:15:00 AM,orco5_gcamp,2.4779718375,0.2445803224,0.7554196776,-0.5108393552
171215-09-top,171215,03:54:00 PM,04:09:00 PM,f,False,milliQ_water_100uL,E,121214,09:45:00 AM,orco5_gcamp,3.1363667818,0.4315906563,0.5684093437,-0.1368186874
171215-09-bottom,171215,03:54:00 PM,04:09:00 PM,f,False,milliQ_water_100uL,E,121214,09:45:00 AM,orco5_gcamp,4.8389372817,0.4449388209,0.5550611791,-0.1101223582
171215-10-top,171215,04:31:00 PM,04:46:00 PM,f,False,milliQ_water_100uL,E,121214,09:45:00 AM,orco5_gcamp,6.1828172882,0.5506117909,0.4493882091,0.1012235818
171215-10-bottom,171215,04:31:00 PM,04:46:00 PM,f,False,milliQ_water_100uL,E,121214,09:45:00 AM,orco5_gcamp,1.3983212244,0.6301446051,0.3698553949,0.2602892102
171218-01-top,171218,11:01:00 AM,11:16:00 AM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.0344044018,0.5984427141,0.4015572859,0.1968854283
